Part No.,Nominal cross section mm²,Stud hole,Kind of connection,Connecting material,IEC Certification,UL Certification,DNV-GL Certification,Cable Class 1,Cable Class 2,Cable Class 5,Cable Class 6,K50 Serie,K4 serie,K22 Serie,K13 Serie,K15 Serie,K25 Serie,K5,K05,K06,K95,K09,K02,K2,K93,K94,EK30IDML,EK60VP,EKM60ID,EK60VPFT,EK120ID,Image URL
1R10,6,10,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
1R10MS,6,10,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
1R12,6,12,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
1R12MS,6,12,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
41R545,6,5,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
41R645,6,6,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
41R845,6,8,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
41R1045,6,10,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
41R1245,6,12,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
41R545,6,5,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
41R645,6,6,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
41R845,6,8,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
41R1045,6,10,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
41R1245,6,12,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
41R5,6,5,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
41R6,6,6,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
41R8,6,8,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
41R10,6,10,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
41R12,6,12,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
41R5,6,5,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
41R6,6,6,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
41R8,6,8,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
41R10,6,10,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
41R12,6,12,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
21R,6,-,Connector,"Butt connectors, Cu, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/2FF1C28B-4AA6-43F3-9EE9-F93F8F9197DC
21R,6,-,Connector,"Butt connectors, Cu, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,,,,https://cdn.klauke.com/resources/images/2FF1C28B-4AA6-43F3-9EE9-F93F8F9197DC
151R,6,-,Connector,"Parallel connectors, Cu, stranded type",,,,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/C8378227-E673-43B9-8D35-73A0052C8E68
TV6,6,-,Connector,"T-Connectors, Cu, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/50F64969-4228-48BB-81E3-10C54859ACB1
KV6,6,-,Connector,"Cross-connectors, Cu, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/1184E404-5B38-45E4-8123-054D2AF6A2D8
SR65,6,5,Cable lug,"Tubular cable lugs, Cu, solid conductor type",,,,x,,,,,,x,,,,,,,,,x,,,x,,,,,,https://cdn.klauke.com/resources/images/C04FDD0C-1B4B-488D-ACDB-80F0AA72961C
SR66,6,6,Cable lug,"Tubular cable lugs, Cu, solid conductor type",,,,x,,,,,,x,,,,,,,,,x,,,x,,,,,,https://cdn.klauke.com/resources/images/C04FDD0C-1B4B-488D-ACDB-80F0AA72961C
SV6,6,-,Connector,"Butt connectors, Cu, solidconductor type",,,,x,,,,x,,x,,,,,,,,,x,,,x,,,,,,https://cdn.klauke.com/resources/images/9E6A30CE-F30D-4068-A3E9-D9DA294FD983
STV6,6,-,Connector,"T-connectors, Cu, solid conductor type",,,,x,,,,x,,x,,,,,,,,,x,,,x,,,,,,https://cdn.klauke.com/resources/images/A9B3BD95-2CC2-4184-B7EF-289530DF599A
SKV6,6,-,Connector,"Cross-connectors, Cu, solid conductor type",,,,x,,,,x,,x,,,,,,,,,x,,,x,,,,,,https://cdn.klauke.com/resources/images/7B83A91D-4CAD-461B-A6AD-3217E69C06DB
96C5,10,5,Cable lug,"Tubular cable lugs, CU, fork type",,x,x,,x,,,,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/836A24ED-D9BA-4228-A60C-AB5EB364B066
96C6,10,6,Cable lug,"Tubular cable lugs, CU, fork type",,x,x,,x,,,,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/836A24ED-D9BA-4228-A60C-AB5EB364B066
96C8,10,8,Cable lug,"Tubular cable lugs, CU, fork type",,x,x,,x,,,,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/836A24ED-D9BA-4228-A60C-AB5EB364B066
96C5,10,5,Cable lug,"Tubular cable lugs, CU, fork type",,x,x,,,x,,x,,,,,,x,x,,x,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/836A24ED-D9BA-4228-A60C-AB5EB364B066
96C6,10,6,Cable lug,"Tubular cable lugs, CU, fork type",,x,x,,,x,,x,,,,,,x,x,,x,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/836A24ED-D9BA-4228-A60C-AB5EB364B066
96C8,10,8,Cable lug,"Tubular cable lugs, CU, fork type",,x,x,,,x,,x,,,,,,x,x,,x,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/836A24ED-D9BA-4228-A60C-AB5EB364B066
2R5,10,5,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
2R5MS,10,5,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
2R6,10,6,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
2R6MS,10,6,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
2R8,10,8,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
2R8MS,10,8,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
2R10,10,10,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
2R10MS,10,10,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
2R12,10,12,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
2R12MS,10,12,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
2R5,10,5,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
2R5MS,10,5,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
2R6,10,6,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
2R6MS,10,6,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
2R8,10,8,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
2R8MS,10,8,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
2R10,10,10,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
