Part No.,Nominal cross section mm²,Stud hole,Kind of connection,Connecting material,IEC Certification,UL Certification,DNV-GL Certification,Cable Class 1,Cable Class 2,Cable Class 5,Cable Class 6,K50 Serie,K4 serie,K22 Serie,K13 Serie,K15 Serie,K25 Serie,K5,K05,K06,K95,K09,K02,K2,K93,K94,EK30IDML,EK60VP,EKM60ID,EK60VPFT,EK120ID,Image URL
44R1045,25,10,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
44R1245,25,12,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
44R1445,25,14,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
44R5,25,5,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
44R6,25,6,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
44R8,25,8,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
44R10,25,10,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
44R12,25,12,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
44R14,25,14,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
44R5,25,5,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
44R6,25,6,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
44R8,25,8,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
44R10,25,10,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
44R12,25,12,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
44R14,25,14,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
24R,25,-,Connector,"Butt connectors, Cu, standard type",x,x,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/2FF1C28B-4AA6-43F3-9EE9-F93F8F9197DC
24R,25,-,Connector,"Butt connectors, Cu, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/2FF1C28B-4AA6-43F3-9EE9-F93F8F9197DC
154R,25,-,Connector,"Parallel connectors, Cu, stranded type",,,,,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/C8378227-E673-43B9-8D35-73A0052C8E68
TV25,25,-,Connector,"T-Connectors, Cu, standard type",x,x,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/50F64969-4228-48BB-81E3-10C54859ACB1
604R5,25,5,Cable lug,"Insulated tubular cable lugs, Cu, standard type",,,,,x,,,,x,x,x,x,x,,,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/AF351D75-A357-4479-AFAF-FD95ABB37C41
604R6,25,6,Cable lug,"Insulated tubular cable lugs, Cu, standard type",,,,,x,,,,x,x,x,x,x,,,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/5DD9C1D4-88D4-4CED-8890-5D4558609D4B
604R8,25,8,Cable lug,"Insulated tubular cable lugs, Cu, standard type",,,,,x,,,,x,x,x,x,x,,,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/5DD9C1D4-88D4-4CED-8890-5D4558609D4B
604R10,25,10,Cable lug,"Insulated tubular cable lugs, Cu, standard type",,,,,x,,,,x,x,x,x,x,,,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/5DD9C1D4-88D4-4CED-8890-5D4558609D4B
604R12,25,12,Cable lug,"Insulated tubular cable lugs, Cu, standard type",,,,,x,,,,x,x,x,x,x,,,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/5DD9C1D4-88D4-4CED-8890-5D4558609D4B
604R14,25,14,Cable lug,"Insulated tubular cable lugs, Cu, standard type",,,,,x,,,,x,x,x,x,x,,,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/5DD9C1D4-88D4-4CED-8890-5D4558609D4B
624R,25,-,Connector,"Insulated butt connectors, Cu, standard type",,,,,x,,,,x,x,x,x,x,,,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/2930E4F5-59A3-493D-955F-7A87324F51E9
SR256,25,6,Cable lug,"Tubular cable lugs, Cu, solid conductor type",,,,x,,,,,,,,,,,x,,,,x,,,,,,,,,https://cdn.klauke.com/resources/images/C04FDD0C-1B4B-488D-ACDB-80F0AA72961C
SR258,25,8,Cable lug,"Tubular cable lugs, Cu, solid conductor type",,,,x,,,,,,,,,,,x,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/C04FDD0C-1B4B-488D-ACDB-80F0AA72961C
SV25,25,-,Connector,"Butt connectors, Cu, solidconductor type",,,,x,,,,,,,,,,,x,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/9E6A30CE-F30D-4068-A3E9-D9DA294FD983
STV25,25,-,Connector,"T-connectors, Cu, solid conductor type",,,,x,,,,,,,,,,,x,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/A9B3BD95-2CC2-4184-B7EF-289530DF599A
704F5,25,5,Cable lug,"Tubular cable lugs, Cu, F-Series",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/D38F9802-EBF2-4178-8DFB-CA3F6F36A688
704F6,25,6,Cable lug,"Tubular cable lugs, Cu, F-Series",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/D38F9802-EBF2-4178-8DFB-CA3F6F36A688
704F8,25,8,Cable lug,"Tubular cable lugs, Cu, F-Series",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/D38F9802-EBF2-4178-8DFB-CA3F6F36A688
704F10,25,10,Cable lug,"Tubular cable lugs, Cu, F-Series",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/D38F9802-EBF2-4178-8DFB-CA3F6F36A688
704F12,25,12,Cable lug,"Tubular cable lugs, Cu, F-Series",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/D38F9802-EBF2-4178-8DFB-CA3F6F36A688
744F5,25,5,Cable lug,"Angled tubular cable lugs, Cu, 90° and 45° angled, F-serie",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/5BE4B6EC-8EC9-4B80-9AC5-81BE46F462A9
744F6,25,6,Cable lug,"Angled tubular cable lugs, Cu, 90° and 45° angled, F-serie",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/5BE4B6EC-8EC9-4B80-9AC5-81BE46F462A9
744F8,25,8,Cable lug,"Angled tubular cable lugs, Cu, 90° and 45° angled, F-serie",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/5BE4B6EC-8EC9-4B80-9AC5-81BE46F462A9
744F10,25,10,Cable lug,"Angled tubular cable lugs, Cu, 90° and 45° angled, F-serie",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/5BE4B6EC-8EC9-4B80-9AC5-81BE46F462A9
744F12,25,12,Cable lug,"Angled tubular cable lugs, Cu, 90° and 45° angled, F-serie",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/5BE4B6EC-8EC9-4B80-9AC5-81BE46F462A9
724F,25,-,Connector,"Butt connectors, Cu, F-series",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/591F2493-BA69-482A-BB1A-FED513AE4572
5R6,35,6,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
5R6MS,35,6,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
5R8,35,8,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
5R8MS,35,8,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
5R10,35,10,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
5R10MS,35,10,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
5R12,35,12,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
5R12MS,35,12,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/AFB9511C-4B89-418B-88EB-FCAF9AE892CC
5R14,35,14,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
5R14MS,35,14,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/AFB9511C-4B89-418B-88EB-FCAF9AE892CC
5R16,35,16,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
5R16MS,35,16,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
5R6,35,6,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
5R6MS,35,6,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
5R8,35,8,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
5R8MS,35,8,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
5R10,35,10,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
5R10MS,35,10,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
5R12,35,12,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
5R12MS,35,12,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/AFB9511C-4B89-418B-88EB-FCAF9AE892CC
5R14,35,14,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
5R14MS,35,14,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/AFB9511C-4B89-418B-88EB-FCAF9AE892CC
5R16,35,16,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
5R16MS,35,16,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
5SG6,35,6,Cable lug,"Tubular cable lugs for switchgear connections, standard type",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/84588F06-09D0-42B8-85EC-E5A3C05D38FC
5SG6,35,6,Cable lug,"Tubular cable lugs for switchgear connections, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/84588F06-09D0-42B8-85EC-E5A3C05D38FC
45R645,35,6,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
45R845,35,8,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
45R1045,35,10,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
45R1245,35,12,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
45R1645,35,16,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
45R645,35,6,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
45R845,35,8,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
45R1045,35,10,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
45R1245,35,12,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
45R1645,35,16,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
45R6,35,6,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
45R8,35,8,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
45R10,35,10,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
45R12,35,12,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
45R14,35,14,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
45R16,35,16,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
45R6,35,6,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
45R8,35,8,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
45R10,35,10,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
45R12,35,12,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
45R14,35,14,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
45R16,35,16,Cable lug,"Angled tubular cable lugs, Cu, 90° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/AF3D6CE5-311B-4433-9E4B-86468BA25F84
25R,35,-,Connector,"Butt connectors, Cu, standard type",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/2FF1C28B-4AA6-43F3-9EE9-F93F8F9197DC
25R,35,-,Connector,"Butt connectors, Cu, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/2FF1C28B-4AA6-43F3-9EE9-F93F8F9197DC
155R,35,-,Connector,"Parallel connectors, Cu, stranded type",,,,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/C8378227-E673-43B9-8D35-73A0052C8E68
TV35,35,-,Connector,"T-Connectors, Cu, standard type",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/50F64969-4228-48BB-81E3-10C54859ACB1
KV35,35,-,Connector,"Cross-connectors, Cu, standard type",x,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,x,https://cdn.klauke.com/resources/images/1184E404-5B38-45E4-8123-054D2AF6A2D8
605R6,35,6,Cable lug,"Insulated tubular cable lugs, Cu, standard type",,,,,x,,,,x,x,x,x,x,,,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/5DD9C1D4-88D4-4CED-8890-5D4558609D4B
605R8,35,8,Cable lug,"Insulated tubular cable lugs, Cu, standard type",,,,,x,,,,x,x,x,x,x,,,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/5DD9C1D4-88D4-4CED-8890-5D4558609D4B
605R10,35,10,Cable lug,"Insulated tubular cable lugs, Cu, standard type",,,,,x,,,,x,x,x,x,x,,,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/5DD9C1D4-88D4-4CED-8890-5D4558609D4B
605R12,35,12,Cable lug,"Insulated tubular cable lugs, Cu, standard type",,,,,x,,,,x,x,x,x,x,,,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/5DD9C1D4-88D4-4CED-8890-5D4558609D4B
605R14,35,14,Cable lug,"Insulated tubular cable lugs, Cu, standard type",,,,,x,,,,x,x,x,x,x,,,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/5DD9C1D4-88D4-4CED-8890-5D4558609D4B
605R16,35,16,Cable lug,"Insulated tubular cable lugs, Cu, standard type",,,,,x,,,,x,x,x,x,x,,,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/5DD9C1D4-88D4-4CED-8890-5D4558609D4B
625R,35,-,Connector,"Insulated butt connectors, Cu, standard type",,,,,x,,,,x,x,x,x,x,,,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/73FAF2C2-0630-4305-B5AF-7AAA65BC5F57
SR358,35,8,Cable lug,"Tubular cable lugs, Cu, solid conductor type",,,,x,,,,,,,,,,,x,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/C04FDD0C-1B4B-488D-ACDB-80F0AA72961C
SR3510,35,10,Cable lug,"Tubular cable lugs, Cu, solid conductor type",,,,x,,,,,,,,,,,x,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/C04FDD0C-1B4B-488D-ACDB-80F0AA72961C
SV35,35,-,Connector,"Butt connectors, Cu, solidconductor type",,,,x,,,,,,,,,,,x,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/9E6A30CE-F30D-4068-A3E9-D9DA294FD983
STV35,35,-,Connector,"T-connectors, Cu, solid conductor type",,,,x,,,,,,,,,,,x,,,,,,,,,,,,,https://cdn.klauke.com/resources/images/A9B3BD95-2CC2-4184-B7EF-289530DF599A
705F6,35,6,Cable lug,"Tubular cable lugs, Cu, F-Series",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/D38F9802-EBF2-4178-8DFB-CA3F6F36A688
705F8,35,8,Cable lug,"Tubular cable lugs, Cu, F-Series",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/D38F9802-EBF2-4178-8DFB-CA3F6F36A688
705F10,35,10,Cable lug,"Tubular cable lugs, Cu, F-Series",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/D38F9802-EBF2-4178-8DFB-CA3F6F36A688
705F12,35,12,Cable lug,"Tubular cable lugs, Cu, F-Series",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/D38F9802-EBF2-4178-8DFB-CA3F6F36A688
705F14,35,14,Cable lug,"Tubular cable lugs, Cu, F-Series",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/D38F9802-EBF2-4178-8DFB-CA3F6F36A688
745F6,35,6,Cable lug,"Angled tubular cable lugs, Cu, 90° and 45° angled, F-serie",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/5BE4B6EC-8EC9-4B80-9AC5-81BE46F462A9
745F8,35,8,Cable lug,"Angled tubular cable lugs, Cu, 90° and 45° angled, F-serie",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/5BE4B6EC-8EC9-4B80-9AC5-81BE46F462A9
745F10,35,10,Cable lug,"Angled tubular cable lugs, Cu, 90° and 45° angled, F-serie",,x,,,,x,x,,x,x,x,x,x,x,,,x,,,,,,x,x,x,x,,https://cdn.klauke.com/resources/images/5BE4B6EC-8EC9-4B80-9AC5-81BE46F462A9
