SKU,Tool Series,Product URL,Primary Image,Product Name
EK120UNVCFB,K13 Serie,https://www.klauke.com/gb/en/ek-120-unv-battery-powered-hydraulic-universal-tool-10-400-mm,https://cdn.klauke.com/resources/images/6F2B2E66-E8FF-4744-8021-EAF9540D16A7,Battery powered hydraulic universal tool 10 - 400 mm² with Bosch battery
EK120UNVCFB,K13 Serie,https://www.klauke.com/gb/en/ek-120-unv-battery-powered-hydraulic-universal-tool-10-400-mm,https://cdn.klauke.com/resources/images/6F2B2E66-E8FF-4744-8021-EAF9540D16A7,Battery powered hydraulic universal tool 10 - 400 mm² with Bosch battery
PK12042,K13 Serie,https://www.klauke.com/gb/en/pk-120-42-hydraulic-crimping-head-10-400-mm,https://cdn.klauke.com/resources/images/C0646C87-B0F1-46C7-A5A0-F1FD55E341FB,Hydraulic crimping head 10 - 400 mm²
PK120U,K13 Serie,https://www.klauke.com/gb/en/pk-120-u-hydraulic-crimping-head-10-400-mm,https://cdn.klauke.com/resources/images/066BD60C-CF57-4390-9578-0D567E2871C2,Hydraulic crimping head 10 - 400 mm²
EK135FTCFB,K15 Serie,https://www.klauke.com/gb/en/ek-135-ft-battery-powered-crimping-tool-10-630-mm,https://cdn.klauke.com/resources/images/E5B16C2C-F36C-4CD2-B41E-9A48880A3034,Battery powered hydraulic crimping tool 10 - 630 mm² with Bosch battery
EK135FTCFM,K15 Serie,https://www.klauke.com/gb/en/ek-135-ft-battery-powered-crimping-tool-10-630-mm,https://cdn.klauke.com/resources/images/D7C21C6E-F844-4FE0-ADDA-B41873D7304C,Battery powered hydraulic crimping tool 10 - 630 mm² with Makita battery
HK252,K25 Serie,https://www.klauke.com/gb/en/hk-25-2-hydraulic-crimping-tool-with-foot-pump-16-625-mm,https://cdn.klauke.com/resources/images/AA24A73C-98E1-4B28-82F5-B38E428BEC64,Hydraulic crimping tool with foot pump 16 - 625 mm²
PK252,K25 Serie,https://www.klauke.com/gb/en/pk-25-2-hydraulic-crimping-head-16-625-mm,https://cdn.klauke.com/resources/images/19C88DB1-B375-480B-BD73-BE9C16F590B9,Hydraulic crimping head 16 - 625 mm²
EK30IDML,EK30IDML,https://www.klauke.com/gb/en/ek-30-id-ml-battery-powered-hydraulic-crimping-tool-6-120-mm,https://cdn.klauke.com/resources/images/35CB3107-584F-4B5A-8060-8BC465246720,Battery powered hydraulic crimping tool 6 - 120 mm²
EK60VPCFB,EK60VP,https://www.klauke.com/gb/en/ek-60-vp-battery-powered-crimping-tool-10-240-mm,https://cdn.klauke.com/resources/images/8C90812D-A246-4E89-9F1B-A2B79AD1630A,Battery powered hydraulic crimping tool 10 - 240 mm² with Bosch battery
EK60VPCFM,EK60VP,https://www.klauke.com/gb/en/ek-60-vp-battery-powered-crimping-tool-10-240-mm,https://cdn.klauke.com/resources/images/8C90812D-A246-4E89-9F1B-A2B79AD1630A,Battery powered hydraulic crimping tool 10 - 240 mm² with Makita battery
EK60VPFTCFB,EK60VP,https://www.klauke.com/gb/en/ek-60-ft-battery-powered-crimping-tool-16-300-mm,https://cdn.klauke.com/resources/images/4BD4A29F-251E-4C34-9F74-A1D968586E08,Battery powered hydraulic crimping tool 16 - 300 mm² with Bosch battery
EK60VPFTCFM,EK60VP,https://www.klauke.com/gb/en/ek-60-ft-battery-powered-crimping-tool-16-300-mm,https://cdn.klauke.com/resources/images/4BD4A29F-251E-4C34-9F74-A1D968586E08,Battery powered hydraulic crimping tool 16 - 300 mm² with Makita battery
EKM60IDCFB,EKM60ID,https://www.klauke.com/gb/en/ekm-60-id-battery-powered-crimping-tool-10-240-mm,https://cdn.klauke.com/resources/images/BF33ABF5-AD89-4CFA-840C-9875860AE29A,Battery powered hydraulic crimping tool 10 - 240 mm² with Bosch battery
EKM60IDCFM,EKM60ID,https://www.klauke.com/gb/en/ekm-60-id-battery-powered-crimping-tool-10-240-mm,https://cdn.klauke.com/resources/images/EF2D0CC5-F702-49F3-B9CE-87023F3BC24A,Battery powered hydraulic crimping tool 10 - 240 mm² with Makita battery
EKM60IDISB,EKM60ID,https://www.klauke.com/gb/en/ekm-60-id-is-vde-battery-powered-hydraulic-pressing-tool-10-240-mm-1,https://cdn.klauke.com/resources/images/9ED5D0BE-1C8A-4E01-8CD8-BA6336A8CDAF,VDE battery powered hydraulic crimping tool 10 - 240 mm² with Bosch battery
EKM60IDISM,EKM60ID,https://www.klauke.com/gb/en/ekm-60-id-is-vde-battery-powered-hydraulic-pressing-tool-10-240-mm-1,https://cdn.klauke.com/resources/images/9ED5D0BE-1C8A-4E01-8CD8-BA6336A8CDAF,VDE battery powered hydraulic crimping tool 10 - 240 mm² with Makita battery
EK60VPFTCFB,EK60VPFT,https://www.klauke.com/gb/en/ek-60-ft-battery-powered-crimping-tool-16-300-mm,https://cdn.klauke.com/resources/images/4BD4A29F-251E-4C34-9F74-A1D968586E08,Battery powered hydraulic crimping tool 16 - 300 mm² with Bosch battery
EK60VPFTCFM,EK60VPFT,https://www.klauke.com/gb/en/ek-60-ft-battery-powered-crimping-tool-16-300-mm,https://cdn.klauke.com/resources/images/4BD4A29F-251E-4C34-9F74-A1D968586E08,Battery powered hydraulic crimping tool 16 - 300 mm² with Makita battery
EK120IDCFB,EK120ID,https://www.klauke.com/gb/en/ek-120-id-battery-powered-crimping-tool-35-500-mm,https://cdn.klauke.com/resources/images/B8051C95-40AF-4079-A583-E6DEDEEFAE83,Battery powered hydraulic crimping tool 35 - 500 mm² with Bosch battery
EK120IDCFM,EK120ID,https://www.klauke.com/gb/en/ek-120-id-battery-powered-crimping-tool-35-500-mm,https://cdn.klauke.com/resources/images/B8051C95-40AF-4079-A583-E6DEDEEFAE83,Battery powered hydraulic crimping tool 35 - 500 mm² with Makita battery
EK50ML,K50 Serie,https://www.klauke.com/gb/en/ek-50-ml-electro-mechanical-crimping-tool-0--14-50-mm,https://cdn.klauke.com/resources/images/3C4D33B1-D7FA-42AD-B58A-CA7717D51EE7,EK 50 ML Electromechanical crimping tool
